Test ID,Drop Point,Result
657,2.826,-3.00056
658,2.844,-3.00377
659,2.862,6.00509
660,2.88,6.00433
661,2.898,NULL
662,2.916,NULL
663,2.934,NULL
664,2.952,NULL
665,2.97,-0.000230455
666,2.988,NULL
667,3.006,NULL
668,3.024,NULL
669,3.042,NULL
670,3.06,NULL
671,3.078,-0.000404172
672,3.096,NULL
673,3.114,NULL
674,3.132,NULL
675,3.15,NULL
676,3.168,3.00827
677,3.186,NULL
678,3.204,NULL
679,3.222,NULL
680,3.24,NULL
681,3.258,NULL
682,3.276,3.00011
683,3.294,2.99632
684,3.312,NULL
685,3.33,5.99244
686,3.348,NULL
687,3.366,NULL
688,3.384,2.99797
689,3.402,NULL
690,3.42,NULL
691,3.438,-0.0038325
692,3.456,NULL
693,3.474,NULL
694,3.492,NULL
695,3.51,NULL
696,3.528,NULL
697,3.546,NULL
698,3.564,NULL
699,3.582,NULL
700,3.6,NULL
701,3.618,NULL
702,3.636,NULL
703,3.654,NULL
704,3.672,NULL
705,3.69,NULL
706,3.708,NULL
707,3.726,3.00595
708,3.744,NULL
709,3.762,NULL
710,3.78,2.99927
711,3.798,9
712,3.816,8.99986
713,3.834,3.0007
714,3.852,NULL
715,3.87,8.99964
716,3.888,NULL
717,3.906,3.00714
718,3.924,5.99993
719,3.942,6.00644
720,3.96,6.00674
721,3.978,NULL
722,3.996,-0.00445977
723,4.014,0.00134706
724,4.032,NULL
725,4.05,NULL
726,4.068,NULL
727,4.086,NULL
728,4.104,NULL
729,4.122,NULL
730,4.14,2.999
731,4.158,5.99946
732,4.176,NULL
733,4.194,NULL
734,4.212,NULL
735,4.23,NULL
736,4.248,2.99324
737,4.266,NULL
738,4.284,NULL
739,4.302,NULL
740,4.32,NULL
741,4.338,NULL
742,4.356,NULL
743,4.374,NULL
744,4.392,NULL
745,4.41,NULL
746,4.428,NULL
747,4.446,5.99715
748,4.464,6.00208
749,4.482,NULL
750,4.5,3.00089
751,4.518,5.99286
752,4.536,3.00124
753,4.554,NULL
754,4.572,NULL
755,4.59,NULL
756,4.608,NULL
757,4.626,NULL
758,4.644,-0.00144651
759,4.662,NULL
760,4.68,NULL
761,4.698,NULL
762,4.716,NULL
763,4.734,NULL
764,4.752,NULL
765,4.77,NULL
766,4.788,NULL
767,4.806,NULL
768,4.824,2.9954
769,4.842,NULL
770,4.86,NULL
771,4.878,NULL
772,4.896,6.00093
773,4.914,NULL
774,4.932,NULL
775,4.95,NULL
776,4.968,NULL
777,4.986,NULL
778,5.004,NULL
779,5.022,NULL
780,5.04,NULL
781,5.058,NULL
782,5.076,NULL
783,5.094,6.00153
784,5.112,NULL
785,5.13,-0.00079479
786,5.148,2.99476
787,5.166,3.00232
788,5.184,NULL
789,5.202,NULL
790,5.22,NULL
791,5.238,NULL
792,5.256,NULL
793,5.274,NULL
794,5.292,8.99985
795,5.31,5.99799
796,5.328,NULL
797,5.346,2.99267
798,5.364,NULL
799,5.382,NULL
800,5.4,NULL
801,5.418,NULL
802,5.436,NULL
803,5.454,NULL
804,5.472,NULL
805,5.49,NULL
806,5.508,NULL
807,5.526,NULL
808,5.544,NULL
809,5.562,2.99315
810,5.58,NULL
811,5.598,NULL
812,5.616,3.00688
813,5.634,NULL
814,5.652,8.99968
815,5.67,NULL
816,5.688,2.99927
817,5.706,5.99676
818,5.724,NULL
819,5.742,8.99966
820,5.76,NULL
821,5.778,NULL
822,5.796,NULL
823,5.814,NULL
824,5.832,6.00144
825,5.85,NULL
826,5.868,NULL
827,5.886,NULL
828,5.904,NULL
829,5.922,3.00079
830,5.94,NULL
831,5.958,NULL
832,5.976,NULL
833,5.994,NULL
834,6.012,NULL
835,6.03,8.99966
836,6.048,NULL
837,6.066,NULL
838,6.084,9
839,6.102,NULL
840,6.12,NULL
841,6.138,NULL
842,6.156,NULL
843,6.174,NULL
844,6.192,8.99969
845,6.21,5.99835
846,6.228,NULL
847,6.246,NULL
848,6.264,8.99969
849,6.282,3.00008
850,6.3,NULL
851,6.318,9
852,6.336,NULL
853,6.354,6.0026
854,6.372,NULL
855,6.39,3.00571
856,6.408,NULL
857,6.426,NULL
858,6.444,9
859,6.462,NULL
860,6.48,NULL
861,6.498,8.99964
862,6.516,NULL
863,6.534,6.00136
864,6.552,2.99333
865,6.57,2.99475
866,6.588,NULL
867,6.606,2.99652
868,6.624,NULL
869,6.642,NULL
870,6.66,NULL
871,6.678,NULL
872,6.696,NULL
873,6.714,5.9935
874,6.732,9
875,6.75,8.99998
876,6.768,NULL
877,6.786,9
878,6.804,9
879,6.822,8.99968
880,6.84,9
881,6.858,NULL
882,6.876,9
883,6.894,8.99962
884,6.912,8.99977
885,6.93,9
886,6.948,NULL
887,6.966,9
888,6.984,NULL
889,7.002,NULL
890,7.02,NULL
891,7.038,2.99639
892,7.056,NULL
893,7.074,5.99492
894,7.092,NULL
